Comment,Designator,Footprint,JLCPCB Part#,
680,R301,805,C17798,
8.2nF,C204,603,C27920,
1.78k,R203,805,C17397,
10.2k,R202,805,C17402,
56.2k,R201,805,C17751,
RLF12560T-7R8N8R2,L201,INDPM128125X600N,C182293,
TPS54331DR,IC201,SOIC127P600X175-8N,C182293,
SS34,D201,DO-214AC,C8678,
SS34,D202,DO-214AC,C8678,
47uF,C206,805,C1779,
47uF,C208,805,C1779,
10pf,C207,805,C1785,
1nF,C205,805,C1785,
100nF,C203,805,C49678,
10uF,C202,805,C15850,
10uF,C201,805,C15850,
